H|         746| |00 09 10.09|+59 09 00.8| 2.28|1|H|002.29204036|+59.15021814| |  59.89|  523.39| -180.42|  0.36|  0.42|  0.56|  0.41|  0.48|-0.08| 0.19| 0.11| 0.09|-0.09|-0.10|-0.05|-0.07| 0.14|-0.12|  0|-1.06|   746| 2.720|0.003| 2.318|0.003| | 0.380|0.004|T|0.40|0.03|C| | 2.3579|0.0017|0.014|130| | 2.34| 2.38|   0.10|P|1|A|00092+5909|I| 1| 1| | | |  |   |       |     |     |    |S| |P|   432|B+58    3 |          |          |0.40|F2III-IV    |X 
H|         765| |00 09 24.54|-45 44 49.2| 3.88| |G|002.35224949|-45.74698836| |  23.28|  122.15| -180.13|  0.78|  0.62|  0.98|  0.86|  0.79| 0.04| 0.14|-0.02|-0.08|-0.05| 0.07|-0.04|-0.19| 0.09| 0.02|  0|     |   765| 5.187|0.003| 3.993|0.002| | 1.013|0.029|G|1.00|0.02|A| | 4.0452|0.0004|0.005|141| | 4.04| 4.06|       | | | |          | |  | 1|X| | |  |   |       |     |     |    |S| | |   496|          |C-46    18|P-46     7|1.00|K0III       |X 
H|        1067| |00 13 14.15|+15 11 01.0| 2.83|1|G|003.30895828|+15.18361593| |   9.79|    4.70|   -8.24|  0.67|  0.44|  0.81|  0.77|  0.56| 0.35| 0.06| 0.02| 0.04| 0.12|-0.01| 0.11| 0.30|-0.02| 0.30|  2| 1.14|  1067| 2.585|0.002| 2.803|0.002| |-0.190|0.002|T|-.22|0.01|G| | 2.7544|0.0009|0.007|115| | 2.74| 2.77|   0.15|P|1|A|00132+1511|I| 1| 1|G| | |  |   |       |     |     |    |S| | |   886|B+14   14 |          |          |-.22|B2IV        |X 
H|        1562| |00 19 25.68|-08 49 25.8| 3.56|1|G|004.85701265|-08.82382948| |  11.26|  -14.37|  -37.84|  0.73|  0.43|  0.73|  0.76|  0.42| 0.10| 0.05| 0.21|-0.15| 0.05| 0.04| 0.05|-0.05| 0.05| 0.00|  0| 1.28|  1562| 5.128|0.003| 3.688|0.002| | 1.214|0.003|G|1.13|0.02|A| | 3.7314|0.0007|0.006| 85| | 3.73| 3.75|       |M| | |00194-0850|I| 1| 1| | | |  |   |       |     |     |    |S| | |  1522|B-09   48 |          |          |1.13|K2III       |X 
H|        2021| |00 25 39.20|-77 15 18.1| 2.82| |G|006.41334183|-77.25503511| | 133.78| 2220.12|  324.37|  0.42|  0.45|  0.51|  0.48|  0.49| 0.10| 0.09|-0.25|-0.06| 0.01| 0.06| 0.01| 0.03| 0.10| 0.31|  0|-1.44|  2021|      |     |      |     | | 0.618|0.008|G|0.68|0.02|A| | 2.9305|0.0003|0.004|122| | 2.93| 2.94|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  2151|          |C-77    15|P-77    16|0.68|G2IV        |X 
H|        2484| |00 31 32.56|-62 57 29.1| 4.36| |G|007.88566992|-62.95808549| |  23.35|   82.48|  -54.37|  0.41|  0.42|  0.52|  0.42|  0.47|-0.04| 0.07|-0.15|-0.04| 0.12| 0.07| 0.13| 0.21| 0.05| 0.06|  3| 1.83|  2484| 4.278|0.002| 4.330|0.003| |-0.064|0.009|G|-.02|0.01|L| | 4.3328|0.0012|0.015|140| | 4.25| 4.34|       |D| | |00316-6258|I| 2| 1| | |S|  |   |       |     |     |    |S| | |  2884|          |          |P-63    50|-.02|B9V         |X 
H|        3092| |00 39 19.60|+30 51 40.4| 3.27| |H|009.83165567|+30.86122579| |  32.19|  115.38|  -83.05|  0.60|  0.48|  0.68|  0.70|  0.51| 0.41|-0.03|-0.05| 0.27|-0.09| 0.07|-0.02| 0.00| 0.25| 0.54|  0| 2.83|  3092| 4.945|0.003| 3.419|0.003| | 1.268|0.040|G|1.23|0.03|C| | 3.4328|0.0005|0.004| 95| | 3.42| 3.44|       |C| | |00393+3052|I| 1| 1| | | |  |   |       |     |     |    |S| | |  3627|B+30   91 |          |          |1.23|K3III...    |X 
H|        3179| |00 40 30.39|+56 32 14.7| 2.24|1|H|010.12661349|+56.53740928| |  14.27|   50.36|  -32.17|  0.31|  0.37|  0.57|  0.33|  0.40|-0.34| 0.21|-0.04|-0.04| 0.02| 0.13| 0.03| 0.28| 0.21|-0.21|  1| 1.66|  3179| 3.768|0.002| 2.377|0.002| | 1.170|0.000|G|1.13|0.00|H| | 2.4107|0.0004|0.005|208| | 2.40| 2.42|       |M| | |00405+5632|I| 1| 1| | | |  |   |       |     |     |    |S| | |  3712|B+55  139 |          |          |1.13|K0II-IIIvar |X 
H|        3881| |00 49 48.83|+41 04 44.2| 4.53| |G|012.45345723|+41.07895474| |   4.80|   22.68|  -18.05|  0.48|  0.51|  0.75|  0.53|  0.49| 0.25| 0.15| 0.14|-0.14| 0.12|-0.16| 0.12|-0.34| 0.10| 0.17|  0|-0.96|  3881| 4.352|0.002| 4.510|0.002| |-0.136|0.004|G|-.14|0.03|C| | 4.4853|0.0004|0.006|165| | 4.48| 4.50|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  4727|B+40  171 |          |          |-.14|B5V SB      |G 
H|        4577| |00 58 36.35|-29 21 26.9| 4.30| |H|014.65144118|-29.35746436| |   4.85|   22.44|    6.30|  0.65|  0.57|  0.84|  1.04|  0.65| 0.21|-0.07|-0.36| 0.19| 0.12| 0.02| 0.13| 0.26|-0.30| 0.21|  0|-1.57|  4577| 4.123|0.003| 4.283|0.003| |-0.154|0.007|G|-.12|0.02|A| | 4.2628|0.0005|0.005| 82| | 4.26| 4.27|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  5737|          |C-30   297|P-30    99|-.12|B7IIIp      |3 
